id,name,code,iata,sign,country,status
3345,MAT Macedonian Airlines,IN,MAK,MAKAVIO,Macedonia,1
3346,MCC Aviation,,MCC,DISCOVERY,South Africa,1
3347,MG Aviacion,,MGA,MAG AVACION,Spain,1
3348,MIA Airlines,,JLA,SALLINE,Romania,1
3349,MIAT Mongolian Airlines,OM,MGL,MONGOL AIR,Mongolia,1
3350,MIT Airlines,,MNC,MUNCIE,Canada,1
3351,MK Airline,,MKA,KRUGER-AIR,Ghana,1
3352,MNG Airlines,MB,MNB,BLACK SEA,Turkey,1
3353,MSR Flug-Charter,,EBF,SKYRUNNER,Germany,1
3354,MTC Aviacion,,MCV,MTC AVIACION,Mexico,1
3355,Mac Aviation,,MAQ,MAC AVIATION,Spain,1
3356,Mac Dan Aviation Corporation,,MCN,MAC DAN,United States,1
3357,MacKnight Airlines,,MTD,,Australia,1
3358,Macair Airlines,CC,MCK,,Australia,1
3359,Macedonian Airlines,,MCS,MACAIR,Greece,1
3360,Madina Air,,MDH,MADINA AIR,Libya,1
3362,Magic Blue Airlines,,MJB,MAGIC BLUE,Netherlands,1
3363,Magna Air,,MGR,MAGNA AIR,Austria,1
3364,Mahalo Air,,MLH,MAHALO,United States,1
3365,Mahan Air,W5,IRM,MAHAN AIR,Iran,1
3366,Mahfooz Aviation,M2,MZS,MAHFOOZ,Gambia,1
3367,Maine Aviation,,MAT,MAINE-AV,United States,1
3368,Majestic Airlines,,MAJ,MAGIC AIR,United States,1
3369,Mak Air,,AKM,MAKAIR,Kazakhstan,1
3370,Malagasy Airlines,,MLG,,Madagascar,1
3371,Malawi Express,,MLX,MALAWI EXPRESS,Malawi,1
3372,Malaya Aviatsia Dona,,MKK,AEROKEY,Russia,1
3373,Malaysia Airlines,MH,MAS,MALAYSIAN,Malaysia,1
3374,Mali Air,,MAE,MALI AIREXPRESS,Austria,1
3375,Mali Air Express,,VXP,AVION EXPRESS,Mali,1
3376,Mali Airways,,MTZ,MALI AIRWAYS,Mali,1
3377,Malila Airlift,,MLC,MALILA,Democratic Republic of the Congo,1
3378,Mall Airways,,MLS,MALL-AIRWAYS,United States,1
3379,Malmo Aviation,,SCW,SCANWING,Sweden,1
3380,Malmoe Air Taxi,,LOD,LOGIC,Sweden,1
3381,Malmö Aviation,TF,SCW,Scanwings,Sweden,1
3382,Malta Air Charter,R5,MAC,MALTA CHARTER,Malta,1
3383,Malta Wings,,MWS,MALTA WINGS,Malta,1
3384,Malév,MA,MAH,MALEV,Hungary,1
3385,Manaf International Airways,,MLB,MANAF,Burundi,1
3386,Mandala Airlines,RI,MDL,MANDALA,Indonesia,1
3387,Mandarin Airlines,AE,MDA,Mandarin,Taiwan,1
3388,Mango,JE,MNO,TULCA,South Africa,1
3389,Manhattan Air,,MHN,MANHATTAN,United Kingdom,1
3390,Manitoulin Air Services,,MTO,MANITOULIN,Canada,1
3391,Mann Air,,MNR,TEEMOL,United Kingdom,1
3392,Mannion Air Charter,,MAN,MANNION,United States,1
3393,Mantrust Asahi Airways,,MTS,MANTRUST,Indonesia,1
