id,name,code,iata,sign,country,status
1,135 Airways,,GNL,GENERAL,United States,1
2,1Time Airline,1T,RNX,NEXTIME,South Africa,1
3,2 Sqn No 1 Elementary Flying Training School,,WYT,,United Kingdom,1
4,213 Flight Unit,,TFU,,Russia,1
5,223 Flight Unit State Airline,,CHD,CHKALOVSK-AVIA,Russia,1
6,224th Flight Unit,,TTF,CARGO UNIT,Russia,1
7,247 Jet Ltd,,TWF,CLOUD RUNNER,United Kingdom,1
8,3D Aviation,,SEC,SECUREX,United States,1
9,40-Mile Air,Q5,MLA,MILE-AIR,United States,1
10,4D Air,,QRT,QUARTET,Thailand,1
11,611897 Alberta Limited,,THD,DONUT,Canada,1
12,Ansett Australia,AN,AAA,ANSETT,Australia,1
14,Abelag Aviation,W9,AAB,ABG,Belgium,1
15,Army Air Corps,,AAC,ARMYAIR,United Kingdom,1
16,Aero Aviation Centre Ltd.,,AAD,SUNRISE,Canada,1
17,Aero Servicios Ejecutivos Internacionales,,SII,ASEISA,Mexico,1
18,Aero Biniza,,BZS,BINIZA,Mexico,1
19,Aero Albatros,,ABM,ALBATROS ESPANA,Spain,1
20,Aigle Azur,ZI,AAF,AIGLE AZUR,France,1
21,Aloha Airlines,AQ,AAH,ALOHA,United States,1
22,Alaska Island Air,,AAK,ALASKA ISLAND,United States,1
23,American Airlines,AA,AAL,AMERICAN,United States,1
24,Aviation Management Corporation,,AAM,AM CORP,United States,1
25,Atlantis Airlines (USA),,AAO,ATLANTIS AIR,United States,1
26,Aerovista Airlines,,AAP,AEROVISTA GROUP,United Arab Emirates,1
27,Asiana Airlines,OZ,AAR,ASIANA,Republic of Korea,1
28,Askari Aviation,4K,AAS,AL-AAS,Pakistan,1
29,Australia Asia Airlines,,AAU,AUSTASIA,Australia,1
30,Astro Air International,,AAV,ASTRO-PHIL,United States,1
31,Afriqiyah Airways,8U,AAW,AFRIQIYAH,Libya,1
32,Afrinat International Airlines,Q9,AFU,,Gambia,1
33,Afric'air Express,,AAX,AFREX,Ivory Coast,1
34,Allegiant Air,G4,AAY,ALLEGIANT,United States,1
35,Angus Aviation,,AAZ,ANGUS,Canada,1
36,Artem-Avia,,ABA,ARTEM-AVIA,Ukraine,1
37,African Business and Transportations,,ABB,AFRICAN BUSINESS-,Democratic Republic of the Congo,1
38,Aban Air,K5,ABE,ABAN,Iran,1
39,Aerial Oy,,ABF,SKYWINGS,Finland,1
40,Abakan-Avia,,ABG,ABAKAN-AVIA,Russia,1
41,ABSA - Aerolinhas Brasileiras,M3,TUS,ABSA Cargo,Brazil,1
42,Abaet,,ABJ,Abaet,Brazil,1
43,Alberta Citylink,,ABK,ALBERTA CITYLINK,Canada,1
44,APSA Colombia,,ABO,AEROEXPRESO,Colombia,1
45,Aerovias Bueno,,ABU,AEROBUENO,Colombia,1
46,Aerocenter,,ACR,Escuela de Formacion de Pioltos Privados de Avion,AEROCENTER,1
47,Antrak Air,4,ABV,ANTRAK,Ghana,1
48,Airborne Express,GB,ABX,ABEX,United States,1
49,ABX Air,GB,ABX,ABEX,United States,1
50,ATA Brasil,,ABZ,ATA-BRAZIL,Brazil,1
51,Avcard Services,,ACC,,United Kingdom,1
52,Academy Airlines,,ACD,ACADEMY,United States,1
53,Aero Comondu,,ACO,AERO COMONDU,Mexico,1
54,Astral Aviation,8V,ACP,ASTRAL CARGO,Kenya,1
55,Air Cess,,ACS,,Liberia,1
56,Air Aurora,,AAI,BOREALIS,United States,1
57,Air Cargo Transportation System,,ACU,AFRISPIRIT,Kenya,1
58,Air Charter Service,,ACV,,United Kingdom,1
59,Aero Asia International,E4,RSO,AERO ASIA,Pakistan,1
60,Air Charters,,ACX,PARAIR,Canada,1
61,Air Togo,YT,TGA,AIR TOGO,Togo,1
62,Air Somalia,,RSM,AIR SOMALIA,Somali Republic,1
63,Atlas Cargo Lines,,ACY,ATLAS CARGOLINES,Morocco,1
64,Airservices Australia,,ADA,AUSCAL,Australia,1
68,Antonov Airlines,,ADB,ANTONOV BUREAU,Ukraine,1
69,Air Atlantic Dominicana,,ADC,ATLAN-DOMINICAN,Dominican Republic,1
70,Advanced Air Co.,,ADD,,Japan,1
71,Ada Air,ZY,ADE,ADA AIR,Albania,1
72,Aerea Flying Training Organization,,ADG,AEREA TRAINING,Spain,1
73,Audeli Air,,ADI,AUDELI,Spain,1
74,Abicar,,ADJ,ABICAR,Ivory Coast,1
75,ADC Airlines,Z7,ADK,ADCO,Nigeria,1
76,Aero Dynamics,,ADL,COTSWOLD,United Kingdom,1
77,Aerolineas Dominicanas,,ADM,DOMINAIR,Dominican Republic,1
78,Aerodienst GmbH,,ADN,AERODIENST,Germany,1
79,Aerodiplomatic,,ADP,AERODIPLOMATIC,Mexico,1
80,Aerodyne,,ADY,AERODYNE,United States,1
81,Avion Taxi,,ADQ,AIR DATA,Canada,1
82,Adria Airways,JP,ADR,ADRIA,Slovenia,1
83,Aviones de Sonora,,ADS,SONORAV,Mexico,1
84,Air Dorval,,ADT,AIR DORVAL,Canada,1
85,Airdeal Oy,,ADU,AIRDEAL,Finland,1
86,Advance Air Charters,,ADV,ADVANCE,Canada,1
87,Air Andaman,,ADW,AIR ANDAMAN,Thailand,1
88,Anderson Aviation,,ADX,ANDAX,United States,1
89,Air Europa,UX,AEA,EUROPA,Spain,1
90,Air Southwest Ltd.,,ASW,AIRSOUTHWEST,Canada,1
91,Air Special,,ASX,AIRSPEC,Czech Republic,1
92,Aero Benin,EM,AEB,AEROBEN,Benin,1
93,Aerocesar,,AEC,Aerovias Del Cesar,AEROCESAR,1
94,Aerotrans Airlines,,AED,,Russia,1
95,Aegean Airlines,A3,AEE,AEGEAN,Greece,1
96,Aerofumigaciones Sam,,AEG,FUMIGACIONES SAM,Chile,1
97,Aeroexpreso Interamericano,,AEI,INTERAM,Colombia,1
98,Air Express,,AEJ,KHAKI EXPRESS,Tanzania,1
99,Aerocon,,AEK,AEROCON,Bolivia,1
100,Aero Madrid,,AEM,AEROMADRID,Spain,1
101,Aeroenlaces Nacionales,,AEN,,Mexico,1
102,Aeroservicios Ejecutivos Del Occidente,,AEO,AERO OCCIDENTE,Mexico,1
103,Aerotec,,AEP,AEROTEC,Spain,1
104,Air Atlantique,KI,AAG,ATLANTIC,United Kingdom,1
105,Air Europe,PE,AEL,AIR EUROPE,Italy,1
106,Air Alma,,AAJ,AIR ALMA,Canada,1
107,Air Express,,AEQ,LUNA,Sweden,1
108,Alaska Central Express,KO,AER,ACE AIR,United States,1
109,ACES Colombia,,AES,ACES,Colombia,1
110,Aeronautical Radio of Thailand,,AET,AEROTHAI,Thailand,1
111,Astraeus,5W,AEU,FLYSTAR,United Kingdom,1
112,Aeroventas,,AEV,AEROVENTAS,Mexico,1
113,Aerosvit Airlines,VV,AEW,AEROSVIT,Ukraine,1
114,Airway Express,,AEX,AVCO,United States,1
115,Air Italy,I9,AEY,AIR ITALY,Italy,1
116,Aerial Transit Company,,AEZ,AERIAL TRANZ,United States,1
117,Alfa Air,,AFA,BLUE ALFA,Czech Republic,1
118,American Falcon,WK,AFB,AMERICAN FALCON,Argentina,1
119,Alliance Airlines,QQ,UTY,UNITY,Australia,1
120,Air Universal,,UVS,UNI-LEONE,Sierra Leone,1
121,Auvia Air,,UVT,AUVIA,Indonesia,1
122,African West Air,,AFC,AFRICAN WEST,Senegal,1
123,Airfast Indonesia,,AFE,AIRFAST,Indonesia,1
124,Ariana Afghan Airlines,FG,AFG,ARIANA,Afghanistan,1
125,Air Fecteau,,AFH,FECTO,Canada,1
126,Africaone,,AFI,AFRICAWORLD,Uganda,1
127,Alliance,,AFJ,JAMBO,Uganda,1
128,Africa Air Links,,AFK,AFRICA LINKS,Sierra Leone,1
129,Aeroflot Russian Airlines,SU,AFL,AEROFLOT,Russia,1
130,Aero Empresa Mexicana,,AFO,AERO EMPRESA,Mexico,1
131,Air Bosna,JA,BON,AIR BOSNA,Bosnia and Herzegovina,1
132,Air Bravo,,BRF,AIR BRAVO,Uganda,1
133,Air Brasd'or,,BRL,BRASD'OR,Canada,1
134,Air 500,,BRM,BOOMERANG,Canada,1
135,Alba Servizi Aerotrasporti,,AFQ,ALBA,Italy,1
136,Air France,AF,AFR,AIRFRANS,France,1
137,Air Partner,,ACG,AIR PARTNER,United Kingdom,1
138,Air Caledonie International,SB,ACI,AIRCALIN,France,1
139,Air Caledonia,,ACM,WEST CAL,Canada,1
140,Air Guam,,AGM,AIR GUAM,United States,1
141,Air Gabon,GN,AGN,GOLF NOVEMBER,Gabon,1
142,Air Data,,AFS,,United Kingdom,1
143,Air Afrique Vacancies,,AFV,AFRIQUE VACANCE,Ivory Coast,1
144,Air Cargo America,,MVM,PEGASUS,United States,1
146,Air-Angol,,NGO,AIR ANGOL,Angola,1
147,Air Nigeria,,NGP,REGAL EAGLE,Nigeria,1
148,Air Cargo Carriers,2Q,SNC,NIGHT CARGO,United States,1
149,Air Samarkand,,SND,ARSAM,Uzbekistan,1
150,Air Senegal International,V7,SNG,AIR SENEGAL,Senegal,1
151,Air Sandy,,SNY,AIR SANDY,Canada,1
152,Air Namibia,SW,NMB,NAMIBIA,Namibia,1
153,Air Intersalonika,,NSK,INTERSALONIKA,Greece,1
154,Air Anatolia,,NTL,AIR ANATOLIA,Turkey,1
155,Air Saigon,,SGA,AIR SAIGON,Vietnam,1
156,Afrique Regional Airways,,AFW,AFRAIR,Ivory Coast,1
157,Airfreight Express,,AFX,,United Kingdom,1
158,Africa Chartered Services,,AFY,AFRICA CHARTERED,Nigeria,1
159,Africa Freight Services,,AFZ,AFREIGHT,Zambia,1
160,Aeronaves Del Centro,,AGA,,Venezuela,1
161,Air Service Gabon,G8,AGB,,Gabon,1
162,Arab Agricultural Aviation Company,,AGC,AGRICO,Egypt,1
163,Atlantic Gulf Airlines,,AGF,ATLANTIC GULF,United States,1
164,Aerolitoral,5D,SLI,COSTERA,Mexico,1
165,Algoma Airways,,AGG,ALGOMA,Canada,1
166,Altagna,,AGH,ALTAGNA,France,1
167,Angola Air Charter,,AGO,ANGOLA CHARTER,Angola,1
168,Angola Air Charter,,AGO,ANGOLA CHARTER,Angola,1
169,AERFI Group,,AGP,AIR TARA,Ireland,1
170,Aerogala,,AGQ,GALASERVICE,Chile,1
171,Amadeus Global Travel Distribution,1A,AGT,AMADEUS,Spain,1
172,Angara Airlines,,AGU,SARMA,Russia,1
173,Air Glaciers,7T,AGV,AIR GLACIERS,Switzerland,1
174,Aero Gambia,,AGW,AERO GAMBIA,Gambia,1
175,Aviogenex,,AGX,GENEX,Serbia,1
176,Atlantic Coast Airlines,,BLR,BLUE RIDGE,United States,1
177,Aero Barloz,,BLZ,AEROLOZ,Mexico,1
178,Aeroper,PL,PLI,Aeroperu,Peru,1
179,Atlas Blue,8A,BMM,ATLAS BLUE,Morocco,1
180,Aero Banobras,,BNB,AEROBANOBRAS,Mexico,1
181,Aero Flight Service,,AGY,FLIGHT GROUP,United States,1
182,Agrolet-Mci,,AGZ,AGROLET,Slovakia,1
183,Air Alpha Greenland,GD,AHA,AIR ALPHA,Denmark,1
184,Azal Avia Cargo,,AHC,AZALAVIACARGO,Azerbaijan,1
185,Airport Helicopter Basel,,AHE,Muller & Co.,AIRPORT HELICOPTER,1
186,Aeroservices Corporate,,CJE,BIRD JET,France,1
187,Aspen Helicopters,,AHF,ASPEN,United States,1
188,Aerochago Airlines,,AHG,AEROCHAGO,Dominican Republic,1
189,Airplanes Holdings,,AHH,AIRHOLD,Ireland,1
190,Air Hong Kong,LD,AHK,AIR HONG KONG,Hong Kong,1
191,Aerochiapas,,AHP,AEROCHIAPAS,Mexico,1
192,Air Adriatic,,AHR,ADRIATIC,Croatia,1
193,Air Viggi San Raffaele,,AHS,AIRSAR,Italy,1
194,ABC Air Hungary,,AHU,ABC HUNGARY,Hungary,1
195,Aeromist-Kharkiv,HT,AHW,AEROMIST,Ukraine,1
196,Azerbaijan Airlines,J2,AHY,AZAL,Azerbaijan,1
197,Avies,U3,AIA,AVIES,Estonia,1
198,Airbus Industrie,AP,AIB,AIRBUS INDUSTRIE,France,1
199,Alpine Air Chile,,AIH,ALPINE CHILE,Chile,1
200,Air Integra,,AII,INTEGRA,Canada,1
201,ABC Aerolineas,,AIJ,ABC AEROLINEAS,Mexico,1
202,African Airlines International Limited,,AIK,AFRICAN AIRLINES,Kenya,1
203,African International Airways,,AIN,FLY CARGO,Swaziland,1
204,Alpine Air Express,5A,AIP,ALPINE AIR,United States,1
205,Alicante Internacional Airlines,,AIU,ALIA,Spain,1
206,Aba Air,,ABP,BAIR,Czech Republic,1
207,Airblue,ED,ABQ,PAKBLUE,Pakistan,1
208,Airmark Aviation,,THM,THAI AIRMARK,Thailand,1
209,Airlift International,,AIR,AIRLIFT,United States,1
210,Airest,,AIT,,Estonia,1
211,Air Baffin,,BFF,AIR BAFFIN,Canada,1
212,Air Bandama,,BDM,BANDAMA,Ivory Coast,1
213,Air Berlin,AB,BER,AIR BERLIN,Germany,1
214,Air Brousse,,ABT,AIR BROUSSE,Canada,1
215,Air Contractors,AG,ABR,CONTRACT,Ireland,1
216,Air Illinois,,AIL,AIR ILLINOIS,United States,1
217,Air India Limited,AI,AIC,AIRINDIA,India,1
218,Air Inter Gabon,,AIG,,Gabon,1
219,Air Bourbon,ZB,BUB,BOURBON,Reunion,1
220,Air Atlanta Icelandic,CC,ABD,ATLANTA,Iceland,1
221,Air Inuit,,AIE,AIR INUIT,Canada,1
222,Air Sureste,,AIS,SURESTE,Spain,1
223,Air Srpska,RB,SBK,Air Srpska,Bosnia and Herzegovina,1
224,Air Tahiti Nui,TN,THT,TAHITI AIRLINES,France,1
225,Airvias S/A Linhas Aereas,,AIV,AIRVIAS,Brazil,1
226,Aero Services Executive,W4,BES,BIRD EXPRESS,France,1
227,Atlantic Island Airways,,AIW,TARTAN,Canada,1
228,Aircruising Australia,,AIX,CRUISER,Australia,1
229,Aircrew Check and Training Australia,,AIY,AIRCREW,Australia,1
230,Arkia Israel Airlines,IZ,AIZ,ARKIA,Israel,1
231,A J Services,,AJA,AYJAY SERVICES,United Kingdom,1
232,Aero JBR,,AJB,AERO JBR,Mexico,1
233,Aero Jet Express,,AJE,JET EXPRESS,Mexico,1
234,Avia Consult Flugbetriebs,,AJF,AVIACONSULT,Austria,1
235,Ameristar Jet Charter,,AJI,AMERISTAR,United States,1
236,A2 Jet Leasing,,AJJ,ATLANTIC JET,United States,1
237,Allied Air,,AJK,BAMBI,Nigeria,1
238,Air Jamaica,JM,AJM,JAMAICA,Jamaica,1
239,Air One,AP,ADH,HERON,Italy,1
240,Air Sahara,S2,RSH,SAHARA,India,1
241,Air Malta,KM,AMC,AIR MALTA,Malta,1
242,Aeroejecutivo,,AJO,AEROEXO,Mexico,1
243,Aero Jets Corporativos,,AJP,AEROJETS,Mexico,1
244,Aeroejecutivos Colombia,,AJS,AEROEJECUTIVOS,Colombia,1
245,Amerijet International,M6,AJT,AMERIJET,United States,1
246,Air Jetsul,,AJU,AIRJETSUL,Portugal,1
247,ANA & JP Express,,AJV,AYJAY CARGO,Japan,1
248,Alpha Jet International,,AJW,ALPHAJET,United States,1
249,Air Japan,NQ,AJX,AIR JAPAN,Japan,1
250,Ajet,,AJY,AYJET,Cyprus,1
251,Air Korea Co. Ltd.,,AKA,,Republic of Korea,1
252,Air Livonia,,LIV,LIVONIA,Estonia,1
253,Air BC,,ABL,AIRCOACH,Canada,1
254,Air Fret Senegal,,ABN,,Senegal,1
255,Air Jamahiriya Company,,LJA,AIR JAMAHIRIYA,Libya,1
256,Aktjubavia,,AKB,KARAB,Kazakhstan,1
257,Arca Aerovias Colombianas Ltda.,,AKC,ARCA,Colombia,1
258,Anikay Air Company,,AKF,ANIKAY,Kyrgyzstan,1
259,Akhal,,AKH,AKHAL,Turkmenistan,1
260,Aeromilenio,,MNI,AEROMIL,Mexico,1
261,Aklak Air,,AKK,AKLAK,Canada,1
262,Air Kiribati,4A,AKL,,Kiribati,1
263,Alkan Air,,AKN,ALKAN AIR,Canada,1
264,Angkor Airways,,AKW,ANGKORWAYS,Cambodia,1
265,Air Nippon Network Co. Ltd.,EH,AKX,ALFA WING,Japan,1
266,AK Navigator LLC,,AKZ,ABSOLUTE,Kazakhstan,1
267,Aero Albatros,,ALB,ALBATROS,Mexico,1
268,Albion Aviation,,ALD,ALBION,United Kingdom,1
269,Aeroalas Colombia,,ALE,AEROALAS,Colombia,1
270,Allied Command Europe (Mobile Force),,ALF,ACEFORCE,Belgium,1
271,Aerotaxis Albatros,,BTS,AEROLINEAS ALBATROS,Mexico,1
272,American Flyers,,FYS,AMERICAN FLYERS,United States,1
273,Aero Coach Aviation,,DFA,AERO COACH,United States,1
274,Atlantic Southeast Airlines,,CAA,Chandler,United States,1
275,ACM Air Charter,,BVR,BAVARIAN,Germany,1
276,Air Logistics,,ALG,AIRLOG,United States,1
277,Aerovallarta,,ALL,VALLARTA,Mexico,1
278,Air ALM,,ALM,ANTILLEAN,Netherlands Antilles,1
279,Air Lincoln,,ALN,CHICAGO LINCOLN,United States,1
280,America West Airlines,HP,AWE,CACTUS,United States,1
281,Air Wisconsin,ZW,AWI,AIR WISCONSIN,United States,1
282,Aerotransporte de Carga Union,,TNO,AEROUNION,Mexico,1
283,Aero Taxis Cessna,,TND,TAXIS CESSNA,Mexico,1
284,Arizona Express Airlines,,TMP,TEMPE,United States,1
285,Tatarstan Airlines,U9,TAK,TATARSTAN,Russia,1
286,Allegheny Commuter Airlines,,ALO,ALLEGHENY,United States,1
287,Alpliner AG,,ALP,ALPINER,Switzerland,1
288,Altair Aviation (1986),,ALQ,ALTAIR,Canada,1
289,Air Luxor STP,,ALU,LUXORJET,Sao Tome and Principe,1
290,Alas de Venezuela,,ALV,ALVEN,Venezuela,1
291,Alas Nacionales,,ALW,S.A.,ALNACIONAL,1
292,Alyeska Air Service,,ALY,ALYESKA,United States,1
293,Alta Flights (Charters) Ltd.,,ALZ,,Canada,1
294,Air Sunshine,,RSI,AIR SUNSHINE,United States,1
295,ATMA,,AMA,ADIK,Kazakhstan,1
296,Aerolineas Medellin,,AMD,AEROLINEAS MEDELLIN,Colombia,1
297,Ameriflight,,AMF,AMFLIGHT,United States,1
299,Air Lithuania,TT,KLA,KAUNAS,Lithuania,1
300,Air Minas Linhas A,,AMG,AIR MINAS,Brazil,1
301,Alan Mann Helicopters Ltd.,,AMH,MANN,United Kingdom,1
302,Air Maldives,,AMI,AIR MALDIVES,Maldives,1
303,Aviation Amos,,AMJ,AVIATION AMOS,Canada,1
304,Amerer Air,,AMK,AMER AIR,Austria,1
305,Air Malawi,QM,AML,MALAWI,Malawi,1
306,Aeroputul International Marculesti,,AMM,AEROM,Moldova,1
307,Air Montenegro,,AMN,MONTENEGRO,Montenegro,1
308,Air Montreal (Air Holdings Inc.),,AMO,AIR MONTREAL,Canada,1
309,Aero Transporte S.A. (ATSA),,AMP,ATSA,Peru,1
310,Aeromedicare Ltd.,,AMQ,LIFELINE,United Kingdom,1
312,Air Specialties Corporation,,AMR,AIR AM,United States,1
313,Air Muskoka,,AMS,AIR MUSKOKA,Canada,1
314,ATA Airlines,,AMT,AMTRAN,United States,1
315,Air Macau,NX,AMU,AIR MACAO,Macao,1
316,AMC Airlines,,AMV,,Egypt,1
317,Air Midwest,ZV,AMW,AIR MIDWEST,United States,1
318,Air Seychelles,HM,SEY,SEYCHELLES,Seychelles,1
319,Air Sofia,,SFB,AIR SOFIA,Bulgaria,1
320,AeroMéxico,AM,AMX,AEROMEXICO,Mexico,1
321,Air Ambar,,AMY,AIR AMBAR,Dominican Republic,1
322,Amiya Airline,,AMZ,AMIYA AIR,Nigeria,1
323,All Nippon Airways,NH,ANA,ALL NIPPON,Japan,1
324,Air Navigation And Trading Co. Ltd.,,ANB,AIR NAV,United Kingdom,1
325,Anglo Cargo,,ANC,ANGLO,United Kingdom,1
326,Air Nostrum,YW,ANE,AIR NOSTRUM,Spain,1
327,Air Niugini,PX,ANG,NUIGINI,Papua New Guinea,1
328,Air Arabia,G9,ABY,ARABIA,United Arab Emirates,1
329,Air Canada,AC,ACA,AIR CANADA,Canada,1
330,Airport Bratsk,,BRP,AEROBRA,Russia,1
331,Air Wings,,BSB,ARBAS,Moldova,1
332,Air Baltic,BT,BTI,AIRBALTIC,Latvia,1
333,Alajnihah for Air Transport,,ANH,ALAJNIHAH,Libya,1
334,Air Atlantic (Nig) Limited,,ANI,NIGALANTIC,Nigeria,1
335,Air Nippon,EL,ANK,ANK AIR,Japan,1
336,Antares Airtransport,,ANM,Maintenance & Service GmbH,ANTARES,1
337,Airnorth,TL,ANO,TOPEND,Australia,1
338,Aerol,,ANQ,ANTIOQUIA,Colombia,1
339,Andes Lineas Aereas,,ANS,AEROANDES,Argentina,1
340,Air North Charter - Canada,4N,ANT,AIR NORTH,Canada,1
341,Air Nevada,,ANV,AIR NEVADA,United States,1
342,AOM French Airlines,IW,AOM,French Lines,France,1
343,Aviacion Del Noroeste,,ANW,S.A. de C.V.,AVINOR,1
344,Air New Zealand,NZ,ANZ,NEW ZEALAND,New Zealand,1
345,Avia Jaynar,,SAP,TOBOL,Kazakhstan,1
346,Aero Servicios Empresariales,,EMS,SERVIEMPRESARIAL,Mexico,1
347,Alcon Servicios Aereos,,AOA,S.A. de C.V.,ALCON,1
348,AVCOM,J6,AOC,AERO AVCOM,Russia,1
349,Aero Vodochody,,AOD,AERO CZECH,Czech Republic,1
350,Air One Executive,,AOE,,Italy,1
351,Atair Pty Ltd.,,AOF,ATAIR,South Africa,1
352,Aero VIP,2D,AOG,AVIP,Argentina,1
353,Aeromundo Ejecutivo,,MUN,AEROMUNDO,Mexico,1
354,Aerolinea Muri,,MUR,MURI,Mexico,1
355,Astoria,,AOI,Inc.,ASTORIA,1
356,Aero Rent JSC,,NRO,AEROMASTER,Russia,1
357,Aeronord-Grup,,NRP,AERONORD,Moldova,1
358,Aeroatlantico Colombia,,AOK,,Colombia,1
359,Angkor Airlines,,AOL,ANGKOR AIR,Cambodia,1
360,Aero Entreprise,,AON,AERO ENTERPRISE,France,1
361,As,,AOO,Opened Joint Stock Company,COMPANY AS,1
362,Aeropiloto,,AOP,AEROPILOTO,Portugal,1
363,Aeroenlaces Nacionales,,VIV,AEROENLACES,Mexico,1
364,Aerovis Airlines,,VIZ,AEROVIZ,Ukraine,1
365,Avjet International (FZE),,VJE,,United Arab Emirates,1
366,Aerovista Gulf Express,,VGF,VISTA GULF,United Arab Emirates,1
367,Air Vegas,6V,VGA,AIR VEGAS,United States,1
368,Almaver,,VER,ALMAVER,Mexico,1
369,Afro International Ent. Limited,,AOR,INTER-AFRO,Nigeria,1
370,Alitalia Express,XM,SMX,ALIEXPRESS,Italy,1
371,Asia Overnight Express,OE,AOT,ASIA OVERNIGHT,Philippines,1
372,Air Tractor,,AOU,AIR TRACTOR,Croatia,1
373,Aero Vision,,AOV,AEROVISION,France,1
374,Aerotaxi Del Valle,,AOX,AEROVALLE,Colombia,1
375,Air Park Aviation Ltd.,,APA,CAN-AM,Canada,1
376,Airpac Airlines,,APC,Inc.,AIRPAC,1
377,Aeroservicios Monterrey,,SVM,SERVIMONTE,Mexico,1
378,Amapola Flyg AB,,APF,AMAPOLA,Sweden,1
379,Air People International,,APG,AIR PEOPLE,Thailand,1
380,Alpha Aviation,,APH,Inc.,AIRFLIGHT,1
381,ASA Pesada,,API,Lda.,ASA PESADA,1
382,Air Print,,APJ,S.A.,AIR PRINT,1
383,Atlantic Airlines,,BJK,BLACKJACK,United States,1
384,Aerotransporte Petrolero,,PET,AEROPETRO,Colombia,1
385,Aero Flight,GV,ARF,Aero Fox,Germany,1
386,ACM Aviation,,BJT,BAY JET,United States,1
387,Aircompany Barcol,,BKL,BARCOL,Russia,1
388,All Charter Limited,,BLA,ALL CHARTER,United Kingdom,1
389,Appalachian Flying Service,,APL,Inc.,APPALACHIAN,1
390,Airpac,,APM,Inc.,ALASKA PACIFIC,1
391,Aeropro,,APO,AEROPRO,Canada,1
392,Aerolineas Pacifico Atlantico,,APP,S.A. (Apair),AEROPERLAS,1
393,Aspen Aviation,,APQ,ASPEN BASE,United States,1
394,Aeropuma,,APU,S.A.,AEROPUMA,1
395,Air Plan International,,APV,AIR PLAN,Democratic Republic of the Congo,1
396,Arrow Air,JW,APW,BIG A,United States,1
397,Apex Air Cargo,,APX,PARCEL EXPRESS,United States,1
398,APA Internacional,,APY,APA INTERNACIONAL,Dominican Republic,1
399,Aeroatlas,,AQA,S.A.,ATCO,1
400,Aquila Air Ltd.,,AQL,AQUILA,Canada,1
401,Air Queensland,,AQN,BUSHAIR,Australia,1
402,Aluminum Company Of America,,AQO,ALCOA SHUTTLE,United States,1
403,Aviones de Renta de Quintana Roo,,AQT,S.A. de C.V.,AVIOQUINTANA,1
404,AirQuarius Aviation,,AQU,QUARIUS,South Africa,1
405,Aerodyne Charter Company,,AQZ,QUANZA,United States,1
406,Arik Air,W3,ARA,ARIK AIR,Nigeria,1
407,Avia Air N.V.,,ARB,AVIAIR,Aruba,1
408,Air Routing International Corp.,,ARC,,United States,1
409,Aerocondor,2B,ARD,AEROCONDOR,Portugal,1
410,Aires,4C,ARE,Aerovias de Integracion Regional,S.A.,1
411,Aerolineas Argentinas,AR,ARG,ARGENTINA,Argentina,1
412,Arrowhead Airways,,ARH,ARROWHEAD,United States,1
413,Aero Vics,,ARI,AEROVICS,Mexico,1
414,Aerojet de Costa Rica,,ARJ,S.A.,,1
415,Antillana De Navegacion Aerea,,SUN,,Dominican Republic,1
416,Aeroservicios De San Luis,,SUO,SERVICIO SANLUIS,Mexico,1
417,Aerosuper,,SUP,AEROSUPER,Mexico,1
418,Aero Link Air Services S.L.,,ARK,LINK SERVICE,Spain,1
419,Airlec - Air Aquitaine Transport,,ARL,AIRLEC,France,1
420,Aeromarket Express,,ARM,AMEX,Spain,1
421,Arrow Aviation Ltd.,,ARO,ARROW,Canada,1
422,RPA-Aviataxi Ltd.,,ARP,,Russia,1
423,Air Klaipeda,,KLD,AIR KLAIPEDA,Lithuania,1
424,Armstrong Air,,ARQ,Inc.,ARMSTRONG,1
425,Air Armenia,QN,ARR,AIR ARMENIA,Armenia,1
426,Aeromet Servicios,,ARS,METSERVICE,Chile,1
427,Aerotal Aerolineas Territoriales de Colombia Ltda,,ART,AEROTAL,Colombia,1
428,Aravco Ltd.,,ARV,ARAVCO,United Kingdom,1
429,Aria,,ARW,ARIABIRD,France,1
430,Air Xpress,,ARX,Inc.,AIREX,1
431,Airline Alania,,OST,ALANIA,Russia,1
432,Air Tchad,,HTT,HOTEL TANGO,Chad,1
433,Aerloineas de Techuacan,,HUC,LINEAS TEHUACAN,Mexico,1
434,Aerotransportes Huitzilin,,HUT,AEROHUITZILIN,Mexico,1
435,Aero Transportes Del Humaya,,HUY,AERO HUMAYA,Mexico,1
436,Argosy Airways,,ARY,GOSEY,United States,1
437,Air Resorts,,ARZ,AIR RESORTS,United States,1
438,Alaska Airlines,AS,ASA,Inc.,ALASKA,1
439,Air-Spray 1967 Ltd.,,ASB,AIR SPRAY,Canada,1
440,Air Star Corporation,,ASC,AIR STAR,Canada,1
441,Air Sinai,4D,ASD,AIR SINAI,Egypt,1
442,Airstars,PL,ASE,MOROZOV,Russia,1
443,Air Schefferville,,ASF,Inc.,SCHEFF,1
444,African Star Airways (PTY) Ltd.,,ASG,AFRICAN STAR,South Africa,1
445,Aerosun International,,ASI,Inc.,AEROSUN,1
446,Air Satellite,,ASJ,SATELLITE,Canada,1
447,Awesome Flight Services (PTY) Ltd.,,ASM,AWESOME,South Africa,1
448,Air and Sea Transport,,ASN,,Russia,1
449,Aero Slovakia,,ASO,AERO NITRA,Slovakia,1
450,Airsprint,,ASP,AIRSPRINT,Canada,1
